station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
BEMGK04	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-03-01	2010-06-02	2010-06-30	100	2006-03-01	2010-06-02	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK04	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2010-06-02	2010-06-30	100	2006-03-01	2010-06-02	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK04	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2010-06-02	2010-06-30	100	2006-03-01	2010-06-02	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK04	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2010-06-02	2010-06-30	100	2006-03-01	2010-06-02	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK05	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-03-01		2012-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK05	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2012-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK05	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2012-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK05	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2012-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK06	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-03-01	2008-07-06	2008-12-31	100	2006-03-01	2008-07-06	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK06	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2008-07-06	2008-12-31	100	2006-03-01	2008-07-06	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK06	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2008-07-06	2008-12-31	100	2006-03-01	2008-07-06	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK06	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-03-01	2008-07-06	2008-12-31	100	2006-03-01	2008-07-06	no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK07	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK07	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK07	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK07	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK08	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK08	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK08	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK08	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-03-01		2006-12-31	100	2006-03-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
